root pos x,root pos y,root pos z,root rot x,root rot y,root rot z,root rot w,l_hip_pitch,l_hip_roll,l_thigh,l_calf,l_ankle_pitch,l_ankle_roll,r_hip_pitch,r_hip_roll,r_thigh,r_calf,r_ankle_pitch,r_ankle_roll,l_shoulder_pitch,l_shoulder_roll,l_upper_arm,l_elbow,l_wrist,r_shoulder_pitch,r_shoulder_roll,r_upper_arm,r_elbow,r_wrist
0.011807,0.153427,0.371818,-0.043635,0.110388,0.736938,0.665457,-0.193159,0.0497,-0.033436,0.584074,-0.116929,-0.183841,-0.919311,-0.080133,0.133898,0.560997,-0.020336,0.064079,-0.044482,0.547762,-0.719081,-0.814703,0.002362,0.064001,-0.502748,0.434661,-0.786467,-0.014197
0.015151,0.167061,0.372173,-0.041393,0.121964,0.732348,0.668639,-0.259407,0.055042,0.004895,0.696996,-0.025035,-0.209928,-0.9054,-0.081683,0.149566,0.582847,-0.052387,0.037359,-0.043755,0.545117,-0.746105,-0.837538,0.005867,0.056977,-0.518486,0.456833,-0.780937,0.001198
0.01921,0.175903,0.373378,-0.034966,0.130349,0.729401,0.670642,-0.326416,0.059891,0.040355,0.799048,0.031675,-0.222236,-0.87893,-0.090191,0.158115,0.578208,-0.084783,0.012058,-0.039956,0.549274,-0.764866,-0.869329,0.006082,0.049956,-0.530725,0.467215,-0.782887,0.00929
0.020888,0.181008,0.375319,-0.02791,0.133572,0.728493,0.671325,-0.398213,0.068337,0.075287,0.892443,0.048255,-0.21498,-0.840268,-0.106994,0.15228,0.551635,-0.108592,-0.004797,-0.034166,0.557194,-0.760055,-0.905189,0.010959,0.051582,-0.54649,0.473286,-0.799618,0.009817
0.023184,0.186717,0.377552,-0.018945,0.135815,0.728078,0.671638,-0.454384,0.071594,0.093482,0.94563,0.035692,-0.19349,-0.79853,-0.123254,0.141685,0.529841,-0.123066,-0.013722,-0.026091,0.560934,-0.734815,-0.925867,0.012405,0.052854,-0.560812,0.478119,-0.810826,0.014904
0.024256,0.192637,0.37973,-0.012473,0.136234,0.728203,0.671569,-0.499551,0.071799,0.10304,0.953676,0.00439,-0.167761,-0.751636,-0.136867,0.131197,0.500325,-0.135371,-0.016851,-0.018234,0.56265,-0.705205,-0.936712,0.009771,0.050719,-0.570352,0.479078,-0.825576,0.017368
0.025099,0.200805,0.381777,-0.006796,0.13668,0.727835,0.671958,-0.536006,0.063808,0.093051,0.920512,-0.027068,-0.142974,-0.701877,-0.148734,0.119803,0.473996,-0.148091,-0.014232,-0.007926,0.562741,-0.666669,-0.943875,0.009287,0.048476,-0.577807,0.475641,-0.841578,0.015344
0.026168,0.209568,0.383884,-0.004143,0.13797,0.726804,0.672833,-0.555157,0.054179,0.078628,0.838425,-0.060151,-0.12406,-0.658127,-0.156663,0.101978,0.45129,-0.159599,-0.005217,-0.00223,0.562178,-0.636643,-0.939852,0.008743,0.045728,-0.583855,0.466557,-0.861284,0.008379
0.025835,0.215827,0.385531,-0.001733,0.135003,0.724619,0.675795,-0.558654,0.045008,0.062031,0.760741,-0.075307,-0.111018,-0.618027,-0.158056,0.093249,0.431465,-0.168217,0.006551,0.00805,0.562314,-0.608277,-0.934346,0.012783,0.047906,-0.587911,0.451992,-0.877639,-0.00294
0.024661,0.221774,0.386667,-0.00124,0.129732,0.723051,0.678503,-0.550197,0.036901,0.042966,0.669511,-0.088563,-0.103803,-0.57921,-0.154664,0.084175,0.414473,-0.175896,0.02011,0.01521,0.561772,-0.583417,-0.921527,0.016098,0.050266,-0.586488,0.437314,-0.883409,-0.012052
