root pos x,root pos y,root pos z,root rot w,root rot x,root rot y,root rot z,l_hip_pitch,l_hip_roll,l_thigh,l_calf,l_ankle_pitch,l_ankle_roll,r_hip_pitch,r_hip_roll,r_thigh,r_calf,r_ankle_pitch,r_ankle_roll,l_shoulder_pitch,l_shoulder_roll,l_upper_arm,l_elbow,l_wrist,r_shoulder_pitch,r_shoulder_roll,r_upper_arm,r_elbow,r_wrist
0.0,0.0,0.368828,0.043357,0.079274,-0.0,0.99591,-0.497794,0.113943,0.090088,0.41387,-0.118476,-0.053229,-0.38707,-0.28314,0.10405,0.630323,-0.375401,0.23296,-0.910935,0.16327,-0.755477,-1.848386,0.252626,-0.463261,0.040966,0.631685,-1.460048,-1.161475
0.0,0.0,0.368828,0.043357,0.079274,-0.0,0.99591,-0.524313,0.121539,0.096093,0.41387,-0.113041,-0.056777,-0.406208,-0.302016,0.110986,0.630323,-0.387095,0.248491,-0.941299,0.168712,-0.78066,-1.909999,0.261047,-0.478703,0.042331,0.652741,-1.508716,-1.200191
0.002972,-0.001589,0.364619,0.046382,0.083803,0.00774,0.995372,-0.547035,0.114085,0.091357,0.460223,-0.175663,-0.046137,-0.424797,-0.320337,0.174544,0.655466,-0.420122,0.294851,-0.834414,0.289281,-0.780368,-1.91,0.200394,-0.238572,-0.120409,0.652202,-1.670375,-1.229229
0.003574,-0.001931,0.362361,0.04806,0.088527,0.003495,0.994908,-0.587518,0.119136,0.109592,0.531483,-0.207937,-0.045292,-0.44151,-0.320753,0.165699,0.679131,-0.453315,0.287218,-0.703456,0.425427,-0.7345,-1.91,0.128425,-0.043343,-0.222206,0.611286,-1.775195,-1.251019
0.002477,-0.000813,0.36048,0.050063,0.095629,-0.004602,0.994147,-0.638365,0.12481,0.114659,0.597408,-0.223645,-0.043913,-0.467154,-0.31725,0.11474,0.713034,-0.498039,0.245398,-0.585583,0.557508,-0.704167,-1.91,0.011778,0.086477,-0.326056,0.620059,-1.877034,-1.276196
0.001127,0.000446,0.358781,0.050254,0.098907,-0.017013,0.993681,-0.65859,0.13481,0.131588,0.634431,-0.246458,-0.036893,-0.486079,-0.30653,0.095376,0.733038,-0.537698,0.200705,-0.44723,0.687185,-0.642526,-1.91,-0.02849,0.154851,-0.370949,0.583135,-1.91,-1.302837
-0.000529,-0.001683,0.356986,0.046087,0.096175,-0.032141,0.993777,-0.654535,0.16655,0.157256,0.659975,-0.270423,-0.038655,-0.496101,-0.277949,0.115789,0.735158,-0.549472,0.192787,-0.344953,0.788708,-0.649538,-1.83423,-0.085781,0.189323,-0.382468,0.571001,-1.91,-1.283025
-0.001959,-0.003423,0.356478,0.044692,0.08907,-0.045313,0.99399,-0.640752,0.190064,0.180338,0.67875,-0.27556,-0.049622,-0.500507,-0.258696,0.142028,0.746241,-0.553226,0.188831,-0.318363,0.822253,-0.738455,-1.601905,-0.196724,0.248025,-0.369918,0.538864,-1.900529,-1.273823
-0.004148,-0.004297,0.356979,0.050149,0.087872,-0.054891,0.993353,-0.626662,0.191299,0.203888,0.66,-0.261257,-0.055203,-0.513465,-0.258587,0.165555,0.740595,-0.542966,0.18783,-0.403406,0.731835,-0.923924,-1.224085,-0.370809,0.263242,-0.343795,0.512589,-1.823485,-1.307217
-0.004762,-0.005556,0.356674,0.050117,0.089158,-0.064274,0.992677,-0.622153,0.204458,0.224219,0.664573,-0.274681,-0.04751,-0.528711,-0.245551,0.191421,0.744746,-0.541106,0.183968,-0.391626,0.695347,-0.925686,-1.075782,-0.373315,0.23047,-0.345083,0.537491,-1.814544,-1.248594
