root pos x,root pos y,root pos z,root rot x,root rot y,root rot z,root rot w,l_hip_pitch,l_hip_roll,l_thigh,l_calf,l_ankle_pitch,l_ankle_roll,r_hip_pitch,r_hip_roll,r_thigh,r_calf,r_ankle_pitch,r_ankle_roll,l_shoulder_pitch,l_shoulder_roll,l_upper_arm,l_elbow,l_wrist,r_shoulder_pitch,r_shoulder_roll,r_upper_arm,r_elbow,r_wrist
-0.775487,0.188753,0.36335,0.017148,0.078713,-0.190073,0.978459,-0.605013,0.165272,0.06403,0.635607,-0.12458,0.054976,-0.360348,0.017934,-0.105834,0.18774,-0.094229,-0.085124,-0.128726,0.159434,0.012114,-0.289671,-0.066016,-0.094989,-0.37226,0.057349,-0.578573,0.125382
-0.775229,0.188794,0.363577,0.01582,0.075739,-0.184132,0.979851,-0.554929,0.1674,0.090845,0.549608,-0.139582,0.051525,-0.353282,0.017177,-0.109254,0.193721,-0.096081,-0.081194,-0.130541,0.15825,0.008947,-0.253365,-0.070505,-0.087691,-0.366119,0.04438,-0.568441,0.12568
-0.775175,0.188818,0.363737,0.013295,0.074944,-0.176478,0.981357,-0.522023,0.168164,0.100217,0.489252,-0.118616,0.048287,-0.351184,0.021463,-0.1074,0.200509,-0.092487,-0.085068,-0.131835,0.163927,0.017149,-0.240515,-0.076129,-0.080845,-0.355259,0.032312,-0.559628,0.125109
-0.775371,0.189062,0.364505,0.011346,0.077365,-0.168875,0.982531,-0.511201,0.170189,0.091997,0.450397,-0.109125,0.018576,-0.356409,0.02375,-0.110262,0.206191,-0.092197,-0.067499,-0.14309,0.173075,0.017568,-0.228128,-0.084527,-0.079432,-0.343544,0.01621,-0.53866,0.126111
-0.774911,0.189344,0.365104,0.011311,0.078026,-0.160819,0.98383,-0.494119,0.166028,0.093122,0.410607,-0.081769,0.016504,-0.358585,0.018589,-0.121225,0.210791,-0.093828,-0.081051,-0.148539,0.178645,0.024931,-0.222339,-0.090033,-0.069738,-0.334266,0.017104,-0.525851,0.123606
-0.77413,0.189341,0.365604,0.011475,0.079987,-0.150911,0.985239,-0.489284,0.159722,0.093927,0.388009,-0.067705,0.016591,-0.356351,0.016375,-0.119721,0.207535,-0.083449,-0.082426,-0.152734,0.186668,0.023944,-0.233968,-0.090937,-0.059068,-0.325423,0.021392,-0.516062,0.118712
-0.773727,0.18964,0.365067,0.013078,0.08439,-0.144014,0.985884,-0.496174,0.151013,0.088312,0.374857,-0.05019,0.024539,-0.37433,0.008861,-0.133216,0.219546,-0.091332,-0.088016,-0.162763,0.192426,0.023944,-0.249456,-0.102113,-0.0556,-0.317919,0.042318,-0.510829,0.126149
-0.773191,0.190036,0.365302,0.015093,0.087208,-0.138544,0.986394,-0.497691,0.140572,0.078133,0.36271,-0.044947,0.008266,-0.387502,0.001906,-0.131274,0.232823,-0.089512,-0.072648,-0.171181,0.195893,0.031434,-0.265725,-0.10427,-0.054716,-0.31107,0.06131,-0.502303,0.131192
-0.772219,0.190424,0.365326,0.016387,0.086091,-0.132882,0.98725,-0.489985,0.131311,0.067685,0.352714,-0.037561,0.002177,-0.383896,-0.004583,-0.135532,0.233738,-0.090019,-0.066591,-0.163427,0.198444,0.038772,-0.297396,-0.104107,-0.046925,-0.30798,0.067339,-0.493156,0.134445
-0.772292,0.191077,0.365462,0.017321,0.090931,-0.132041,0.986913,-0.494884,0.127382,0.065425,0.344231,-0.036984,0.002369,-0.400138,-0.008959,-0.140133,0.243099,-0.089557,-0.063548,-0.17082,0.201114,0.050861,-0.320116,-0.104417,-0.059134,-0.300443,0.07335,-0.484404,0.134781
-0.771895,0.191486,0.365477,0.01785,0.09457,-0.131179,0.986676,-0.497878,0.124652,0.06401,0.338572,-0.027886,0.007706,-0.409811,-0.011349,-0.14116,0.248506,-0.09086,-0.062964,-0.171633,0.20532,0.052962,-0.343378,-0.101565,-0.064819,-0.295322,0.071743,-0.483318,0.134338
-0.771861,0.19156,0.365027,0.01659,0.096925,-0.131869,0.986378,-0.507912,0.12704,0.055104,0.340857,-0.026548,0.011176,-0.435603,-0.009134,-0.139192,0.281109,-0.094778,-0.063624,-0.169681,0.216524,0.04113,-0.364955,-0.093291,-0.073905,-0.288852,0.079045,-0.48547,0.126574
-0.770866,0.191639,0.364443,0.017172,0.098125,-0.138127,0.985392,-0.499705,0.126628,0.05347,0.328706,-0.0227,0.01339,-0.465575,-0.011541,-0.133213,0.329529,-0.10322,-0.069038,-0.16343,0.224232,0.047564,-0.372787,-0.096128,-0.077677,-0.286307,0.089641,-0.499954,0.126817
-0.770067,0.191268,0.363423,0.016512,0.096785,-0.141929,0.984996,-0.499675,0.129164,0.054143,0.337991,-0.018315,0.018282,-0.493148,-0.007147,-0.115327,0.382492,-0.116131,-0.07837,-0.159754,0.233992,0.045036,-0.373635,-0.093087,-0.0785,-0.282374,0.097111,-0.517342,0.120758
-0.769356,0.190858,0.362897,0.016417,0.099643,-0.146754,0.984005,-0.513902,0.132637,0.054678,0.360175,-0.022866,0.018898,-0.512929,-0.000974,-0.100758,0.408907,-0.136181,-0.083748,-0.16797,0.243221,0.043266,-0.363395,-0.092906,-0.084688,-0.279128,0.099004,-0.539164,0.122409
-0.768469,0.190157,0.362629,0.018639,0.100301,-0.150167,0.983383,-0.533623,0.131279,0.054573,0.401932,-0.030131,0.016152,-0.510025,-0.003467,-0.097727,0.406346,-0.151573,-0.089251,-0.160015,0.250885,0.042074,-0.368555,-0.081228,-0.081211,-0.280889,0.101477,-0.57053,0.112635
-0.767167,0.189581,0.362934,0.020661,0.099133,-0.150784,0.983367,-0.561796,0.128099,0.053202,0.464943,-0.042353,0.010504,-0.49331,-0.009111,-0.101231,0.388677,-0.159263,-0.088994,-0.161535,0.254322,0.043113,-0.358786,-0.075435,-0.074027,-0.287919,0.099711,-0.589092,0.117651
-0.766349,0.189322,0.362781,0.025387,0.103683,-0.149804,0.982937,-0.612097,0.120777,0.057717,0.548035,-0.049633,0.008481,-0.492062,-0.020588,-0.109188,0.375886,-0.166815,-0.088837,-0.169359,0.249112,0.05523,-0.361503,-0.074358,-0.072889,-0.295737,0.09481,-0.612926,0.117364
-0.764624,0.189045,0.362702,0.029166,0.106841,-0.147484,0.982844,-0.661682,0.109635,0.05184,0.637045,-0.052299,0.011128,-0.48957,-0.031677,-0.118261,0.365427,-0.17244,-0.086885,-0.172428,0.243527,0.069005,-0.363854,-0.063533,-0.069669,-0.305078,0.09445,-0.622306,0.116584
-0.762469,0.188889,0.362174,0.032986,0.112099,-0.145544,0.982427,-0.720537,0.094664,0.041465,0.731571,-0.03576,0.022495,-0.492391,-0.041268,-0.122552,0.358491,-0.179358,-0.088594,-0.174459,0.234362,0.086163,-0.372952,-0.052112,-0.073954,-0.312528,0.100672,-0.621119,0.121679
-0.759392,0.188828,0.361577,0.036379,0.117524,-0.140946,0.982344,-0.78382,0.072635,0.01818,0.822147,-0.007088,0.043517,-0.493652,-0.049995,-0.123313,0.352544,-0.185559,-0.093768,-0.171101,0.221555,0.094751,-0.39442,-0.049481,-0.082783,-0.319525,0.113768,-0.619811,0.14626
-0.756061,0.188887,0.361165,0.039888,0.124524,-0.13888,0.981639,-0.840659,0.050212,-0.003704,0.874689,-0.013978,0.049304,-0.503939,-0.060949,-0.124384,0.35531,-0.188598,-0.093092,-0.162927,0.213332,0.096597,-0.416472,-0.048617,-0.090917,-0.32401,0.124153,-0.618201,0.141498
-0.752274,0.188879,0.36072,0.042049,0.1304,-0.135547,0.981252,-0.883269,0.03364,-0.022967,0.876986,-0.023818,0.044761,-0.506207,-0.070745,-0.130979,0.352984,-0.195406,-0.088895,-0.153383,0.208507,0.091588,-0.431297,-0.047662,-0.097511,-0.329119,0.126524,-0.618306,0.138025
-0.7481,0.188726,0.360247,0.044446,0.136287,-0.133544,0.98062,-0.911651,0.032421,-0.02858,0.826196,-0.039178,0.039804,-0.509037,-0.08173,-0.139313,0.35426,-0.20867,-0.081158,-0.144408,0.203034,0.08827,-0.433477,-0.04782,-0.103266,-0.331979,0.130093,-0.626638,0.128194
-0.742978,0.1883,0.359737,0.045729,0.138532,-0.1302,0.980696,-0.924294,0.033978,-0.036199,0.743241,-0.041068,0.043736,-0.496385,-0.090125,-0.144897,0.345722,-0.223862,-0.073293,-0.124663,0.198097,0.087079,-0.428708,-0.043224,-0.099231,-0.334297,0.135857,-0.638871,0.115518
-0.738107,0.187942,0.35916,0.04538,0.150233,-0.128366,0.979231,-0.950823,0.046058,-0.039582,0.642716,-0.030731,0.044478,-0.504033,-0.092099,-0.148621,0.344671,-0.242508,-0.060577,-0.123509,0.196886,0.095633,-0.411937,-0.036621,-0.112645,-0.329952,0.146624,-0.652681,0.106934
-0.731529,0.187595,0.358676,0.043474,0.152338,-0.124638,0.979474,-0.958284,0.050342,-0.058594,0.544729,0.000169,0.039884,-0.490694,-0.094891,-0.155446,0.342799,-0.255743,-0.049713,-0.105245,0.201545,0.092132,-0.388469,-0.021186,-0.109274,-0.334043,0.163522,-0.663985,0.110669
-0.724714,0.187112,0.358445,0.041548,0.16157,-0.12262,0.978332,-0.982396,0.062205,-0.073191,0.460464,0.024863,0.028718,-0.490757,-0.092062,-0.15164,0.344952,-0.275768,-0.027576,-0.101256,0.205776,0.088254,-0.363041,-0.019138,-0.120419,-0.329091,0.181402,-0.672584,0.105523
